"X","Y"
138.8,138.4
114.8,135.3
137.4,153.2
135.1,143
130.7,146.2
130.2,154.2
147.1,151.8
145.9,145.9
127.2,135.5
129.2,142.1
149.6,153.6
132.5,147.7
135.7,147
139.2,142.3
148.6,152.5
141.8,151
129,137.6
138.1,140.1
120.1,128.9
151,144.2
144.7,149.3
124.8,147.7
150.6,150.2
147,153.1
133,134.7
136.6,150.3
134.3,142.1
152.3,165.9
149.7,156.7
128.5,148.7
117.7,140.6
121.4,141.1
124.4,141.7
156.3,163.8
118.4,136.9
145.8,152.3
136.3,143.2
138.7,142.8
162,166.5
132.4,139.3
143.5,149.3
126.6,150.1
125,138.4
138.6,145.1
159.5,165.6
136.9,142.8
129.3,140.5
135.3,135.4
136.8,142.9
145.4,147
134.4,141.6
135.9,149.8
131.7,131.1
144.3,145.4
